OBJECTID_12,Cod_Favela,Nome,Cod_Comp,Complexo,UPP,Pop_SABR,Dom_SABR,Fonte,Porte,Bairro,RA,RP,AP,Programa_Urbanizacao_1,Programa_Urbanizacao_2,Programa_Urbanizacao_3,Contagem_Domicílios,Ano_Contagem_Domicílios,PROAP,PROAP_Panoramas,PROAP_MRP,PROAP_Fichas,Grau_Urbanizacao,Urbanizadas_DEC36388_2012,Urbanizáveis_DEC36388_2012,AEIS_Número,AEIS_Data,AEIS_Número_Data,Denominação_AEIS,Observações_AEIS,Validação_AEIS_SMH,Ciclo_Morar_Carioca,Observações_Ciclos,Agrupamento_Número,Agrupamento_Nome,Agrupamento_Número_Nome
2070,824,Rua da Proclamação (altura do nº 809),0,Isolada,N,118,45,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,40,Ramos,Ramos,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2071,822,Marco,0,Isolada,N,180,52,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,141,Bangu,Bangu,5,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2072,821,Vila Aliança,2118,Fazenda Coqueiro,N,388,136,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,141,Bangu,Bangu,5,0,6,0,212,2013,,,, ,4,0,1, , , , , ,0,2, ,00,Complexo Fazenda Coqueiro,00 - Complexo Fazenda Coqueiro
2073,820,Vila Aliança (Av. do Corretor),0,Isolada,N,206,65,IBGE - Censo Demográfico 2010,< 100 domicílios,141,Bangu,Bangu,5,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
2074,819,Quinta do Taquaral,2118,Fazenda Coqueiro,N,253,85,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,141,Bangu,Bangu,5,0,6,0,82,2013,,,, ,4,0,1, , , , , ,0,2, ,00,Complexo Fazenda Coqueiro,00 - Complexo Fazenda Coqueiro
2075,818,Vila Aliança (loteamento Rua do Lúcio),2118,Fazenda Coqueiro,N,485,136,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,141,Bangu,Bangu,5,0,6,0,367,2013,,,, ,4,0,1, , , , , ,0,2, ,00,Complexo Fazenda Coqueiro,00 - Complexo Fazenda Coqueiro
2076,817,Sem Terra,0,Isolada,N,237,79,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,141,Bangu,Bangu,5,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2077,816,Estrada de Gericinó (em frente ao nº 817),0,Isolada,N,64,21,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,141,Bangu,Bangu,5,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2078,815,Estrada de Gericinó (altura do nº 860),2121,Vila Catiri,N,337,102,IPP com base em IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,141,Bangu,Bangu,5,0,0,0,0, ,,,, ,4,0,1,5270,26/05/2011,5270/2011,Vila Catiri,"Apesar de não constar na denominação da AEIS, esta favela é totalmente abrangida pela AEIS Vila Catiri (Lei 5270/2011)",1,0, , , , 
2079,814,"Estrada de Realengo, nº 1.516",0,Isolada,N,157,45,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,141,Bangu,Bangu,5,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2080,813,Parque das Mangueiras,0,Isolada,N,71,21,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,141,Bangu,Bangu,5,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
2081,812,Rua Humberto Teixeira,0,Isolada,N,231,70,IBGE - Censo Demográfico 2010,< 100 domicílios,141,Bangu,Bangu,5,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
2082,811,Favela do Quiabo,0,Isolada,Vila Kennedy,377,118,IPP com base em IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,141,Bangu,Bangu,5,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
2083,810,Castor de Andrade II,2116,Alto Kennedy,Vila Kennedy,415,140,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,141,Bangu,Bangu,5,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2084,809,"Rua Aldo Rangel, nº 198",0,Isolada,N,162,52,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,116,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2085,808,"Estrada Curipós, nº 310",0,Isolada,N,89,28,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,116,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2086,807,Rua Adalberto Tanajura (altura do nº 152),0,Isolada,N,208,59,IBGE - Censo Demográfico 2010,< 100 domicílios,107,Anchieta,Pavuna,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2087,806,Estrada do Soberbo (altura do nº 176),0,Isolada,N,29,13,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,34,Tijuca,Tijuca,2,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
2088,805,Rua Rodrigo da Silva (altura do nº 91),0,Isolada,N,30,10,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,34,Tijuca,Tijuca,2,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
2089,804,Rua Rodrigo da Silva (altura do nº 910 - Caminho Santo André),0,Isolada,N,180,61,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,34,Tijuca,Tijuca,2,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2090,803,Estrada do Soberbo (altura do nº 267),0,Isolada,N,20,6,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,34,Tijuca,Tijuca,2,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
2091,802,"Rua Torres de Oliveira, nº 467",2042,Engenheiro Alfredo Gonçalves,N,155,50,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,67,Méier,Méier,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2092,801,A.M. Novo Rio de Jacarepaguá,2091,Canal do Anil,N,1038,313,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,117,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2093,800,Nova Cidade,0,Isolada,N,14191,4105,IPP com base em IBGE - Censo Demográfico 2010,> 500 domicílios,146,Campo Grande,Campo Grande,5,0,0,0,0, ,,,, ,4,0,1,2818,23/06/1999,2818/1999,Nova Cidade, ,1,0, , , , 
2094,799,A.M. Barra América,0,Isolada,N,198,57,IBGE - Censo Demográfico 2010,< 100 domicílios,128,Barra da Tijuca,Barra da Tijuca,4,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2095,798,Parque Horto Florestal,0,Isolada,N,1113,350,IPP com base em IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,149,Santa Cruz,Santa Cruz,5,0,0,8,0, ,,,, ,3,0,1, , , , , ,0,0, , , , 
2096,796,Caminho do Abreu,2142,Caminho do Abreu,N,504,143,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,152,Guaratiba,Guaratiba,5,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2097,795,Bosque Mont Serrat,0,Isolada,N,1689,495,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,130,Barra da Tijuca,Barra da Tijuca,4,0,0,0,0, ,,,, ,4,0,1,LC104,27/11/2009,LC104/2009,Bosque Monte Serrat,A Lei de AEIS não apresenta descrição de delimites. Para delimitação da AEIS foi considerado o limite da favela estabelecido pelo SABREN.,1,0, , , , 
2098,794,"Avenida dos Eucaliptos, 28",0,Isolada,N,119,37,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,132,Barra da Tijuca,Barra da Tijuca,4,0,0,0,0, ,,,, ,4,0,1, , , , ,A Lei de AEIS não apresenta descrição de delimites. Para delimitação da AEIS foi usado o limite da favela estabelecido pelo SABREN.,0,0, , , , 
2099,792,Morro do PEC,0,Isolada,N,391,133,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,13,Ilha de Paquetá,Centro,1,0,0,0,0, ,,,, ,4,0,0,3279,24/09/2001,3279/2001,"Jurema Aires, Morro do Pequi",A  AEIS extrapola o limite da favela estabelecido pelo SABREN.,1,0, , , , 
2100,791,Caminho dos Nunes,2123,Beco do Genipapo,N,281,86,IBGE - Censo Demográfico 2010,< 100 domicílios,144,Campo Grande,Campo Grande,5,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2101,790,Beco do Genipapo,2123,Beco do Genipapo,N,397,123,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,144,Campo Grande,Campo Grande,5,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2102,789,"Rua Marquês de Muritiba, nº 609",2063,Conjunto Residencial dos Servidores,N,157,53,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,96,Ilha do Governador,Ilha do Governador,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2103,788,"Rua Jerônimo Ornelas, nº 490",2061,Bairro Nossa Senhora das Graças,N,70,22,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,93,Ilha do Governador,Ilha do Governador,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2104,787,Rua Projetada A - Rio Comprido,2007,Vila Anchieta,Prazeres / Escondidinho,521,190,IPP com base em IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,7,Rio Comprido,Centro,1,0,0,0,0, ,,,, ,4,0,1, , , , ,A rua de acesso à favela é abrangida pela AEIS Vila Elza (Lei 2817/1999),1,0, , , , 
2105,786,Coroado (AMAPOLO),0,Isolada,Cerro Corá,930,291,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,14,Santa Teresa,Centro,1,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2106,784,Mandela de Pedra,2026,Manguinhos,Manguinhos - Arará/Mandela,4196,1162,IPP com base em IBGE - Censo Demográfico 2010,> 500 domicílios,39,Ramos,Ramos,3,0,6,0,0, ,,,, ,7,0,1,4379,20/06/2006,4379/2006,Mandela de Pedra, ,1,1, , , , 
2107,783,Pata Choca,0,Isolada,Maré,1536,538,IBGE - Censo Demográfico 2010,> 500 domicílios,157,Maré,Ramos,3,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
2108,782,"Vila da Rua Viúva Cláudio, nº 211",2083,Jacarezinho,Jacarezinho,622,185,IPP com base em IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,51,Méier,Méier,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2109,781,Malvinas,0,Isolada,N,186,43,IBGE - Censo Demográfico 2010,< 100 domicílios,65,Méier,Méier,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2110,780,Parque Everest,2036,Parque Everest,N,1321,313,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,54,Inhaúma,Inhaúma,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2111,779,Vila Dom Fábio,0,Isolada,N,274,83,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,50,Inhaúma,Inhaúma,3,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
2112,778,Rua Lagoa Redonda,2039,Rua Lagoa Redonda,N,721,228,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,54,Inhaúma,Inhaúma,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2113,777,Lagoa da Barra,0,Isolada,N,67,21,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,128,Barra da Tijuca,Barra da Tijuca,4,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2114,776,Ilha da Gigóia - Lote 500,0,Isolada,N,97,38,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,128,Barra da Tijuca,Barra da Tijuca,4,0,0,0,0, ,,,, ,4,0,1,5801,24/10/2014,5801/2014,Ilha da Gigóia,A  AEIS extrapola o limite da favela estabelecido pelo SABREN.,1,0, , , , 
2115,775,Açude da Solidão,0,Isolada,N,60,20,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,34,Tijuca,Tijuca,2,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
2116,774,Vale Encantado,0,Isolada,N,45,12,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,34,Tijuca,Tijuca,2,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
2117,773,Sítio da Biquinha,0,Isolada,N,240,68,IBGE - Censo Demográfico 2010,< 100 domicílios,34,Tijuca,Tijuca,2,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
2118,772,Morro do Pau Ferro,2045,Morro do Pau Ferro,N,165,46,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,68,Méier,Méier,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2119,771,Vila da Amizade,0,Isolada,N,116,37,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,69,Méier,Méier,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2120,770,Outeiro (RA - Méier),0,Isolada,Camarista Méier,573,171,IPP com base em IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,66,Méier,Méier,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2121,769,Rua Agostinho Gama,0,Isolada,N,321,115,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,120,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2122,768,Pantanal I (RA - Jacarepaguá),2096,Inácio do Amaral,Cidade de Deus,206,52,IBGE - Censo Demográfico 2010,< 100 domicílios,120,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2123,767,Praça da Bíblia,2096,Inácio do Amaral,Cidade de Deus,535,176,IPP com base em IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,118,Cidade de Deus,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2124,766,Rua Daniel,2096,Inácio do Amaral,Cidade de Deus,100,29,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,120,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2125,765,Fazendinha de Água Santa,0,Isolada,N,1269,317,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,67,Méier,Méier,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2126,764,Engenho da Serra,0,Isolada,N,162,51,IBGE - Censo Demográfico 2010,< 100 domicílios,115,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2127,763,"Rua Monsenhor Marques, nº 277",0,Isolada,N,28,10,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,121,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
2128,762,Vacaria,0,Isolada,N,40,13,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,122,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
2129,761,Avenida Guia Lopes,0,Isolada,N,110,35,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,122,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
2130,760,Rua Sargento Paulo Moreira,0,Isolada,N,568,165,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,120,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2131,721,Do Horto,0,Isolada,N,970,286,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,28,Lagoa,Zona Sul,2,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2132,644,Bela Vista do Mato Alto,2095,Fazenda Mato Alto,N,1927,540,IBGE - Censo Demográfico 2010,> 500 domicílios,124,Jacarepaguá,Jacarepaguá,4,0,6,0,808,2015,,,, ,4,0,1, , , , , ,0,2, ,24,Fazenda Mato Alto,24 - Fazenda Mato Alto
2133,624,Vila Elza,2007,Vila Anchieta,Prazeres / Escondidinho,317,93,IBGE - Censo Demográfico 2010,< 100 domicílios,14,Santa Teresa,Centro,1,2,0,0,0, ,,,, ,3,0,1,2817,23/06/1999,2817/1999,Vila Elza,"A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,0, , , , 
2134,595,Ladeira da Reunião,2095,Fazenda Mato Alto,N,1176,339,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,123,Jacarepaguá,Jacarepaguá,4,0,6,0,455,2015,,,, ,4,0,1,LC70,06/07/2004,LC70/2004,"Caminho do Waldemar; Morro da Reunião; Caxangá; Ladeira da Reunião e Rua Arago","A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,2, ,24,Fazenda Mato Alto,24 - Fazenda Mato Alto
2135,594,Morro da Boa Esperança,2058,Vila Campinho,N,561,161,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,124,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,1, , , , ,Parte da favela é abrangida pela AEIS Comunidade Espírito Santo / Santa Irinéia (Lei 4202/2005),1,0, , , , 
2136,589,Morro da Reunião,2095,Fazenda Mato Alto,N,119,40,IBGE - Censo Demográfico 2010,< 100 domicílios,123,Jacarepaguá,Jacarepaguá,4,0,6,0,122,2015,,,, ,4,0,1,LC70,06/07/2004,LC70/2004,"Caminho do Waldemar; Morro da Reunião; Caxangá; Ladeira da Reunião e Rua Arago","A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,2, ,24,Fazenda Mato Alto,24 - Fazenda Mato Alto
2137,579,A.M. e Amigos do Vale,2013,Unidos de Santa Tereza,Fallet / Fogueteiro - Coroa,161,45,IBGE - Censo Demográfico 2010,< 100 domicílios,14,Santa Teresa,Centro,1,0,6,0,384,2012,,,, ,4,0,1, , , , , ,0,2, ,03,Vila Paraíso,03 - Vila Paraíso
2138,578,Pantanal (RA - Rio Comprido),2006,Turano,Turano,612,173,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,7,Rio Comprido,Centro,1,0,6,0,0, ,,,, ,1,0,1,3704,12/12/2003,3704/2003,"Complexo do Turano - Liberdade, Chacrinha, Bispo, Rodo, Matinha",O nome desta favela (Pantanal) não consta na denominação da AEIS na Lei. O polígono de  AEIS extrapola o limite da favela estabelecido pelo SABREN.,1,1, , , , 
2139,562,Engenheiro Alfredo Gonçalves,2042,Engenheiro Alfredo Gonçalves,N,908,279,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,69,Méier,Méier,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2140,560,Estrada do Sertão,0,Isolada,N,1127,356,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,115,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2141,558,Comunidade dos Marianos,2042,Engenheiro Alfredo Gonçalves,N,740,245,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,69,Méier,Méier,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2142,537,Morro da Cotia,2044,Lins,Lins,934,291,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,62,Méier,Méier,3,1,0,0,0, ,,,, ,3,0,1,2818,23/06/1999,2818/1999,Morro da Cotia,"A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,0, , , , 
2143,534,Rodo,2006,Turano,Turano,901,277,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,7,Rio Comprido,Centro,1,0,6,0,0, ,,,, ,1,0,1,3704,12/12/2003,3704/2003,"Complexo do Turano - Liberdade, Chacrinha, Bispo, Rodo, Matinha","A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,1, , , , 
2144,759,Vila Arco Íris,2092,Colônia Juliano Moreira,N,1919,588,IBGE - Censo Demográfico 2010,> 500 domicílios,115,Jacarepaguá,Jacarepaguá,4,0,6,0,0, ,,,, ,1,0,1,5589,10/06/2013,5589/2013,Colônia Juliano Moreira,A AEIS não abrange toda a área da favela. A Lei 5589/2013 alterou a Lei 4885/2008 quanto a delimitação da AEIS.,1,1, , , , 
2145,758,Rua Samaúna,0,Isolada,N,127,43,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,152,Guaratiba,Guaratiba,5,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
2146,756,Hélio Oiticica,0,Isolada,N,180,55,IBGE - Censo Demográfico 2010,< 100 domicílios,130,Barra da Tijuca,Barra da Tijuca,4,0,0,0,0, ,,,, ,4,0,1,LC104,27/11/2009,LC104/2009,Hélio Oiticica,A Lei de AEIS não apresenta descrição de delimites. Para delimitação da AEIS foi considerado o limite da favela estabelecido pelo SABREN.,1,0, , , , 
2147,755,Comunidade Bandeirantes,0,Isolada,N,260,73,IBGE - Censo Demográfico 2010,< 100 domicílios,131,Barra da Tijuca,Barra da Tijuca,4,0,0,0,0, ,,,, ,4,0,1,LC104,27/11/2009,LC104/2009,Bandeirantes,A Lei de AEIS não apresenta descrição de delimites. Para delimitação da AEIS foi considerado o limite da favela estabelecido pelo SABREN.,1,0, , , , 
2148,753,Negrão de Lima,2053,Grota,N,67,24,IBGE - Censo Demográfico 2010,< 100 domicílios,83,Madureira,Madureira,3,0,0,8,0, ,,,, ,7,0,1, , , , , ,0,0, , , , 
2149,752,Beco da Amizade,0,Isolada,N,205,63,IBGE - Censo Demográfico 2010,< 100 domicílios,82,Madureira,Madureira,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2150,751,Travessa Antônio Avelino,2055,Parque Vila Nova,N,111,36,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,88,Madureira,Madureira,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2151,750,Rua José Felix de Mariz,0,Isolada,N,667,209,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,78,Madureira,Madureira,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2152,749,Caminho do Rio Pequeno,0,Isolada,N,370,101,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,115,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2153,748,Força do Povo,2071,Parque Criança Esperança,N,187,61,IBGE - Censo Demográfico 2010,< 100 domicílios,109,Anchieta,Pavuna,3,0,0,8,0, ,,,, ,3,0,1, , , , , ,0,0, , , , 
2154,746,"Rua Embaú, nº 349",2079,Parque Unidos,N,90,30,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,114,Pavuna,Pavuna,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2155,744,Nova Olinda,0,Isolada,N,298,93,IBGE - Censo Demográfico 2010,< 100 domicílios,114,Pavuna,Pavuna,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2156,743,Praça Cândida Vargas,0,Isolada,N,428,135,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,87,Madureira,Madureira,3,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
2157,742,Cantinho do Rio,2033,Dourados,N,139,43,IBGE - Censo Demográfico 2010,< 100 domicílios,46,Vigário Geral,Penha,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2158,741,"Rua Castro Menezes, nº 928",2030,Morro da Guaíba,N,25,8,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,45,Penha,Penha,3,0,0,0,0, ,,,, ,4,0,1, , , , ,Favela muito próxima à AEIS Mangueirinha (LC 114/11),0,0, , , , 
2160,739,Visconde de Sabóia,0,Isolada,N,794,238,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,80,Madureira,Madureira,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2161,738,Rua Brício de Moraes,2048,Morro do Juramento,N,474,127,IPP com base em IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,56,Inhaúma,Inhaúma,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2162,737,Vitória da Conquista,0,Isolada,N,364,100,IBGE - Censo Demográfico 2010,< 100 domicílios,90,Madureira,Madureira,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2163,736,Beco do Rato,0,Isolada,N,902,270,IPP com base em IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,151,Guaratiba,Guaratiba,5,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2164,735,Largo do Corrêa 1,2144,Largo do Corrêa 1,N,1591,495,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,151,Guaratiba,Guaratiba,5,0,0,8,0, ,,,, ,3,0,1, , , , , ,0,0, , , , 
2165,734,Largo do Corrêa,2140,Areal,N,870,265,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,151,Guaratiba,Guaratiba,5,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2166,733,Novo Jardim Maravilha,0,Isolada,N,1650,451,IPP com base em IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,151,Guaratiba,Guaratiba,5,0,0,8,0, ,,,, ,3,0,1, , , , , ,0,0, , , , 
2167,732,Beco sem Nome,0,Isolada,N,211,69,IBGE - Censo Demográfico 2010,< 100 domicílios,144,Campo Grande,Campo Grande,5,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
2168,731,Bairro Fernão Magalhães,0,Isolada,N,384,118,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,144,Campo Grande,Campo Grande,5,0,0,8,0, ,,,, ,3,0,1, , , , , ,0,0, , , , 
2169,730,Caminho do Morro,0,Isolada,N,125,38,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,144,Campo Grande,Campo Grande,5,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
2170,729,Vilar Carioca,0,Isolada,N,993,297,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,146,Campo Grande,Campo Grande,5,0,0,8,0, ,,,, ,3,0,1, , , , , ,0,0, , , , 
2171,728,Parque Proletário Vila Esperança,0,Isolada,N,774,206,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,146,Campo Grande,Campo Grande,5,0,0,8,0, ,,,, ,3,0,1, , , , , ,0,0, , , , 
2172,727,Nova Conquista (RA - Campo Grande),2130,Vila do Céu,N,1413,395,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,147,Campo Grande,Campo Grande,5,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
